species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,Biscoe,46.7,11.3,198.0,3060.0,female,2007
Gentoo,Biscoe,44.9,12.6,202.0,5990.0,male,2007
Gentoo,Biscoe,50.3,13.9,198.0,4630.0,female,2007
Gentoo,Biscoe,50.5,11.3,243.0,6400.0,male,2007
Gentoo,Biscoe,49.9,15.7,246.0,4420.0,female,2007
Gentoo,Biscoe,58.8,15.5,203.0,7210.0,male,2007
Gentoo,Biscoe,40.8,12.5,189.0,4280.0,female,2007
Gentoo,Biscoe,45.4,11.6,233.0,5870.0,male,2007
Gentoo,Biscoe,41.8,12.2,195.0,4920.0,female,2007
Gentoo,Biscoe,44.6,18.1,238.0,5890.0,male,2007
Gentoo,Biscoe,49.8,16.3,223.0,5750.0,male,2007
Gentoo,Biscoe,46.8,10.6,177.0,5040.0,female,2007
Gentoo,Biscoe,47.9,14.9,252.0,3700.0,female,2007
Gentoo,Biscoe,50.4,18.8,260.0,4390.0,male,2007
Gentoo,Biscoe,43.0,6.4,200.0,3600.0,female,2007
Gentoo,Biscoe,53.4,17.3,205.0,6850.0,male,2007
Gentoo,Biscoe,43.2,11.6,223.0,2860.0,,2007
Gentoo,Biscoe,61.4,17.3,223.0,4960.0,male,2007
Gentoo,Biscoe,51.3,11.2,226.0,3880.0,female,2007
Gentoo,Biscoe,45.7,8.1,270.0,6440.0,male,2007
Gentoo,Biscoe,41.9,8.8,218.0,4960.0,male,2007
Gentoo,Biscoe,45.2,14.4,189.0,5950.0,female,2007
Gentoo,Biscoe,44.0,15.5,173.0,4380.0,female,2007
Gentoo,Biscoe,63.2,13.4,212.0,6330.0,male,2007
Gentoo,Biscoe,51.5,17.4,219.0,4310.0,female,2008
Gentoo,Biscoe,48.0,9.7,265.0,7550.0,male,2008
Gentoo,Biscoe,38.4,13.4,200.0,3760.0,female,2008
Gentoo,Biscoe,36.8,12.5,225.0,5560.0,male,2008
Gentoo,Biscoe,41.8,11.0,208.0,4980.0,female,2008
Gentoo,Biscoe,53.0,15.9,238.0,5760.0,male,2008
Gentoo,Biscoe,43.8,10.3,271.0,3760.0,female,2008
Gentoo,Biscoe,43.4,14.5,212.0,5570.0,male,2008
Gentoo,Biscoe,46.2,17.7,198.0,4340.0,female,2008
Gentoo,Biscoe,51.5,12.7,242.0,4600.0,male,2008
Gentoo,Biscoe,46.1,19.2,239.0,6510.0,male,2008
Gentoo,Biscoe,44.4,9.4,263.0,7110.0,female,2008
Gentoo,Biscoe,45.8,16.0,225.0,3640.0,female,2008
Gentoo,Biscoe,44.8,21.7,216.0,4030.0,male,2008
Gentoo,Biscoe,46.7,3.4,228.0,5010.0,female,2008
Gentoo,Biscoe,48.0,12.6,243.0,7880.0,male,2008
Gentoo,Biscoe,52.0,16.5,231.0,4050.0,female,2008
Gentoo,Biscoe,53.8,13.3,233.0,6940.0,male,2008
Gentoo,Biscoe,38.2,15.9,237.0,6080.0,female,2008
Gentoo,Biscoe,45.4,12.6,254.0,4450.0,male,2008
Gentoo,Biscoe,49.1,14.7,252.0,5470.0,female,2008
Gentoo,Biscoe,47.6,14.8,236.0,6680.0,male,2008
Gentoo,Biscoe,46.4,18.6,204.0,3920.0,female,2008
Gentoo,Biscoe,64.8,16.0,224.0,4800.0,male,2008
Gentoo,Biscoe,46.1,15.9,238.0,3870.0,female,2008
Gentoo,Biscoe,56.1,13.7,204.0,4540.0,male,2008
Gentoo,Biscoe,50.1,11.8,217.0,3550.0,female,2008
Gentoo,Biscoe,49.5,13.2,211.0,4080.0,male,2008
Gentoo,Biscoe,44.1,15.5,215.0,4430.0,female,2008
Gentoo,Biscoe,58.1,14.0,263.0,4880.0,male,2008
Gentoo,Biscoe,41.9,15.4,224.0,4930.0,female,2008
Gentoo,Biscoe,48.6,25.1,231.0,4140.0,male,2008
Gentoo,Biscoe,43.8,17.9,180.0,4980.0,,2008
Gentoo,Biscoe,49.9,14.9,248.0,6630.0,male,2008
Gentoo,Biscoe,55.1,19.0,236.0,2710.0,female,2008
Gentoo,Biscoe,41.4,13.4,277.0,5920.0,male,2008
Gentoo,Biscoe,51.1,6.8,208.0,5980.0,female,2008
Gentoo,Biscoe,38.3,11.6,226.0,3790.0,male,2008
Gentoo,Biscoe,45.8,8.1,227.0,6770.0,male,2008
Gentoo,Biscoe,51.9,13.4,256.0,5620.0,female,2008
Gentoo,Biscoe,46.7,15.1,214.0,3990.0,female,2008
Gentoo,Biscoe,43.2,22.7,237.0,5740.0,male,2008
Gentoo,Biscoe,43.9,15.5,224.0,5160.0,female,2008
Gentoo,Biscoe,54.5,15.4,225.0,6080.0,male,2008
Gentoo,Biscoe,41.5,17.1,204.0,5290.0,female,2008
Gentoo,Biscoe,46.3,7.6,228.0,5030.0,male,2008
Gentoo,Biscoe,49.3,15.4,239.0,4790.0,female,2009
Gentoo,Biscoe,49.2,18.7,195.0,4040.0,male,2009
Gentoo,Biscoe,58.1,8.7,215.0,4610.0,female,2009
Gentoo,Biscoe,53.2,20.5,206.0,4450.0,male,2009
Gentoo,Biscoe,34.8,15.2,242.0,4010.0,female,2009
Gentoo,Biscoe,51.7,15.6,190.0,6840.0,male,2009
Gentoo,Biscoe,40.1,16.9,204.0,5690.0,female,2009
Gentoo,Biscoe,55.6,23.3,227.0,5910.0,male,2009
Gentoo,Biscoe,43.5,14.7,251.0,3780.0,female,2009
Gentoo,Biscoe,51.5,18.0,228.0,5230.0,male,2009
Gentoo,Biscoe,50.0,13.2,204.0,6160.0,female,2009
Gentoo,Biscoe,56.5,13.7,275.0,5540.0,male,2009
Gentoo,Biscoe,39.5,17.8,176.0,7070.0,female,2009
Gentoo,Biscoe,47.8,12.7,169.0,6040.0,male,2009
Gentoo,Biscoe,42.1,15.0,225.0,5040.0,female,2009
Gentoo,Biscoe,47.5,13.8,213.0,4890.0,male,2009
Gentoo,Biscoe,58.2,17.7,190.0,5060.0,male,2009
Gentoo,Biscoe,48.9,15.9,240.0,4720.0,female,2009
Gentoo,Biscoe,42.1,18.6,209.0,5330.0,female,2009
Gentoo,Biscoe,55.7,14.5,211.0,6210.0,male,2009
Gentoo,Biscoe,59.1,13.9,187.0,4060.0,female,2009
Gentoo,Biscoe,61.1,13.1,250.0,4270.0,male,2009
Gentoo,Biscoe,39.6,13.7,231.0,3140.0,female,2009
Gentoo,Biscoe,46.7,16.5,226.0,6010.0,male,2009
Gentoo,Biscoe,53.6,16.8,262.0,3620.0,,2009
Gentoo,Biscoe,43.3,12.4,188.0,3350.0,male,2009
Gentoo,Biscoe,43.9,18.2,172.0,5090.0,female,2009
Gentoo,Biscoe,57.3,21.2,202.0,7990.0,male,2009
Gentoo,Biscoe,38.7,15.7,207.0,4570.0,female,2009
Gentoo,Biscoe,47.8,22.6,215.0,6340.0,male,2009
Gentoo,Biscoe,34.3,12.1,210.0,5080.0,female,2009
Gentoo,Biscoe,44.7,10.9,238.0,5850.0,male,2009
Gentoo,Biscoe,42.2,8.1,182.0,5570.0,female,2009
Gentoo,Biscoe,45.3,22.3,266.0,5210.0,male,2009
Gentoo,Biscoe,54.4,16.7,215.0,4640.0,female,2009
Gentoo,Biscoe,47.9,15.8,258.0,6170.0,male,2009
Gentoo,Biscoe,42.3,16.8,226.0,4210.0,,2009
Gentoo,Biscoe,49.5,11.7,233.0,6990.0,male,2009
Gentoo,Biscoe,54.4,23.5,228.0,4750.0,female,2009
Gentoo,Biscoe,,,,,,2009
Gentoo,Biscoe,52.6,14.7,231.0,5390.0,female,2009
Gentoo,Biscoe,50.5,18.6,255.0,4850.0,male,2009
Gentoo,Biscoe,40.3,16.7,217.0,5230.0,female,2009
Gentoo,Biscoe,52.2,17.0,231.0,5390.0,male,2009
Chinstrap,Dream,47.5,14.7,190.0,4590.0,female,2007
Chinstrap,Dream,47.0,21.4,232.0,4370.0,male,2007
Chinstrap,Dream,51.6,26.7,176.0,3620.0,male,2007
Chinstrap,Dream,43.5,24.1,233.0,4340.0,female,2007
Chinstrap,Dream,53.3,26.2,196.0,5120.0,male,2007
Chinstrap,Dream,48.5,15.8,162.0,4510.0,female,2007
Chinstrap,Dream,54.0,14.2,181.0,3260.0,female,2007
Chinstrap,Dream,45.1,17.7,180.0,2440.0,male,2007
Chinstrap,Dream,56.7,19.1,216.0,3080.0,female,2007
Chinstrap,Dream,41.5,24.3,182.0,3390.0,male,2007
Chinstrap,Dream,45.8,11.0,182.0,3190.0,female,2007
Chinstrap,Dream,54.6,26.4,147.0,3590.0,male,2007
Chinstrap,Dream,48.4,16.7,174.0,3760.0,female,2007
Chinstrap,Dream,48.9,16.4,140.0,4580.0,male,2007
Chinstrap,Dream,44.9,13.1,150.0,3500.0,female,2007
Chinstrap,Dream,48.0,13.0,220.0,4540.0,male,2007
Chinstrap,Dream,47.4,23.3,217.0,3360.0,male,2007
Chinstrap,Dream,62.2,18.1,192.0,1720.0,female,2007
Chinstrap,Dream,48.2,13.4,166.0,2510.0,female,2007
Chinstrap,Dream,45.7,13.0,194.0,4260.0,male,2007
Chinstrap,Dream,46.9,16.0,181.0,2390.0,female,2007
Chinstrap,Dream,50.0,24.2,162.0,4000.0,male,2007
Chinstrap,Dream,47.3,15.6,225.0,4430.0,female,2007
Chinstrap,Dream,53.7,13.4,215.0,5020.0,male,2007
Chinstrap,Dream,42.6,16.9,189.0,3090.0,female,2007
Chinstrap,Dream,49.2,17.9,198.0,5640.0,male,2007
Chinstrap,Dream,54.2,7.6,205.0,3550.0,female,2008
Chinstrap,Dream,52.6,18.8,149.0,3460.0,male,2008
Chinstrap,Dream,46.3,16.9,185.0,3090.0,female,2008
Chinstrap,Dream,53.4,22.8,188.0,4250.0,male,2008
Chinstrap,Dream,47.3,24.0,162.0,2810.0,female,2008
Chinstrap,Dream,51.2,25.3,194.0,4470.0,male,2008
Chinstrap,Dream,45.2,15.6,232.0,3510.0,female,2008
Chinstrap,Dream,50.0,14.4,219.0,4100.0,male,2008
Chinstrap,Dream,48.6,28.9,181.0,4040.0,male,2008
Chinstrap,Dream,53.0,17.0,213.0,5090.0,female,2008
Chinstrap,Dream,51.7,18.4,230.0,4800.0,female,2008
Chinstrap,Dream,56.1,20.6,233.0,3320.0,male,2008
Chinstrap,Dream,53.4,17.4,193.0,150.0,female,2008
Chinstrap,Dream,53.6,19.3,189.0,5430.0,male,2008
Chinstrap,Dream,52.4,17.2,227.0,2580.0,male,2008
Chinstrap,Dream,44.6,15.3,197.0,3430.0,female,2008
Chinstrap,Dream,52.5,19.0,218.0,2380.0,male,2008
Chinstrap,Dream,44.8,14.8,212.0,1700.0,female,2008
Chinstrap,Dream,51.4,15.0,222.0,4220.0,female,2009
Chinstrap,Dream,53.8,18.9,188.0,5210.0,male,2009
Chinstrap,Dream,46.0,16.9,223.0,2820.0,female,2009
Chinstrap,Dream,59.5,25.6,217.0,1710.0,male,2009
Chinstrap,Dream,46.5,8.1,239.0,2700.0,male,2009
Chinstrap,Dream,43.7,21.7,181.0,4070.0,female,2009
Chinstrap,Dream,53.9,21.4,242.0,1850.0,female,2009
Chinstrap,Dream,55.4,10.7,206.0,4130.0,male,2009
Chinstrap,Dream,48.8,15.9,177.0,3580.0,female,2009
Chinstrap,Dream,53.8,18.2,191.0,4630.0,male,2009
Chinstrap,Dream,42.4,11.7,179.0,3470.0,female,2009
Chinstrap,Dream,47.7,15.7,208.0,2480.0,male,2009
Chinstrap,Dream,45.6,12.2,204.0,4450.0,female,2009
Chinstrap,Dream,45.9,26.9,189.0,3890.0,male,2009
Chinstrap,Dream,55.1,22.5,201.0,3770.0,male,2009
Chinstrap,Dream,44.9,24.5,248.0,2590.0,female,2009
Chinstrap,Dream,47.8,22.4,249.0,3510.0,male,2009
Chinstrap,Dream,45.2,12.0,200.0,2770.0,female,2009
Chinstrap,Dream,47.8,14.9,196.0,3480.0,female,2009
Chinstrap,Dream,53.0,21.8,210.0,5710.0,male,2009
Chinstrap,Dream,39.4,13.2,217.0,2030.0,female,2009
Chinstrap,Dream,50.8,21.1,167.0,2160.0,male,2009
Chinstrap,Dream,52.0,18.0,204.0,5570.0,male,2009
Chinstrap,Dream,47.7,17.2,156.0,3570.0,female,2009
